% Archivo con las posiciones de cada Heli'ostato considerado en la
% simulaci'on. Para este tipo de datos siempre es mejor mantenerlos en un
% archivo text de "configuraci'on". De esa manera separamos los datos de los
% procedimientos, y hacemos un sistema mas flexible. Los Heliostatos se separan por lineas
% y en cada linea se escribe [x, y, altura]
43, 13.26, 60
16.44, -41.89, 60
37.18, -25.35, 60
43, -13.26, 60
37.18, 25.35, 60
118.59, 89.32, 60
132.14, 67.68, 60
148.32, -6.39, 60
91.65, -127.29, 60
136.39, -77.45, 60
102.25, -118.94, 60
154.53, 26.87, 60
112.09, -109.71, 60
151.65, 40.05, 60
129.23, 88.89, 60
142.54, -65.44, 60
154.53, -26.87, 60
112.09, 109.71, 60
142.54, 65.44, 60
102.25, 118.94, 60
156.85, 0, 60
121.11, 99.67, 60
156.27, 13.48, 60
129.23, -88.89, 60
147.64, -52.94, 60
136.39, 77.45, 60
151.65, -40.05, 60
121.11, -99.67, 60
156.27, -13.48, 60
147.64, 52.94, 60
91.65, 127.29, 60
122.95, -110.38, 60
147.06, -75.33, 60
140.04, 87.69, 60
113, 120.55, 60
122.95, 110.38, 60
157.79, 49.03, 60
161.42, 35.28, 60
102.22, -129.81, 60
131.98, 99.41, 60
152.99, -62.41, 60
102.22, 129.81, 60
140.04, -87.69, 60
157.79, -49.03, 60
163.86, 21.27, 60
113, -120.55, 60
131.98, -99.41, 60
147.06, 75.33, 60
152.99, 62.41, 60
163.86, -21.27, 60
161.42, -35.28, 60
165.08, 7.11, 60
165.08, -7.11, 60
134.06, 110.32, 60
134.06, -110.32, 60
163.43, -58.6, 60
101.44, -140.9, 60
172.97, 14.92, 60
157.78, -72.43, 60
171.05, -29.74, 60
101.44, 140.9, 60
173.62, 0, 60
113.18, -131.65, 60
150.97, 85.73, 60
167.86, 44.33, 60
143.05, 98.39, 60
113.18, 131.65, 60
124.08, 121.44, 60
143.05, -98.39, 60
124.08, -121.44, 60
171.05, 29.74, 60
172.97, -14.92, 60
163.43, 58.6, 60
157.78, 72.43, 60
167.86, -44.33, 60
150.97, -85.73, 60
130.8, 133.07, 60
181.17, 44.65, 60
183.82, -32.05, 60
121.3, -141.78, 60
181.17, -44.65, 60
162.13, 92.36, 60
139.67, 123.73, 60
183.82, 32.05, 60
121.3, 141.78, 60
162.13, -92.36, 60
130.8, -133.07, 60
155.37, 103.33, 60
185.59, -19.29, 60
139.67, -123.73, 60
168.11, 80.96, 60
155.37, -103.33, 60
147.87, -113.8, 60
185.59, 19.29, 60
147.87, 113.8, 60
186.48, 6.44, 60
168.11, -80.96, 60
177.66, 57.05, 60
173.3, -69.17, 60
173.3, 69.17, 60
177.66, -57.05, 60
186.48, -6.44, 60
159.82, 114.44, 60
192.36, -40.43, 60
132.87, 144.86, 60
174.05, 91.35, 60
174.05, -91.35, 60
179.94, 79.12, 60
196.1, 13.56, 60
159.82, -114.44, 60
189.12, 53.6, 60
189.12, -53.6, 60
179.94, -79.12, 60
196.1, -13.56, 60
151.54, 125.19, 60
184.97, -66.52, 60
196.57, 0, 60
142.55, -135.35, 60
167.33, 103.14, 60
194.7, 27.06, 60
167.33, -103.14, 60
151.54, -125.19, 60
194.7, -27.06, 60
184.97, 66.52, 60
142.55, 135.35, 60
192.36, 40.43, 60
132.87, -144.86, 60
163.68, 125.97, 60
171.98, 114.38, 60
186.09, 89.62, 60
200.54, -49.43, 60
163.68, -125.97, 60
191.83, -76.56, 60
200.54, 49.43, 60
203.47, 35.48, 60
196.65, -63.15, 60
144.78, -147.3, 60
206.42, 7.13, 60
186.09, -89.62, 60
205.44, -21.35, 60
196.65, 63.15, 60
144.78, 147.3, 60
179.46, -102.24, 60
206.42, -7.13, 60
203.47, -35.48, 60
179.46, 102.24, 60
154.6, -136.96, 60
191.83, 76.56, 60
154.6, 136.96, 60
205.44, 21.35, 60
171.98, -114.38, 60
177.43, -132.09, 60
217.84, 38.41, 60
215.24, 51.01, 60
217.84, -38.41, 60
220.83, 12.86, 60
220.83, -12.86, 60
197.67, -99.27, 60
191.57, -110.6, 60
211.91, -63.44, 60
211.91, 63.44, 60
203.11, -87.61, 60
207.86, 75.66, 60
191.57, 110.6, 60
203.11, 87.61, 60
160.9, 151.8, 60
169.45, 142.19, 60
177.43, 132.09, 60
221.2, 0, 60
197.67, 99.27, 60
219.71, -25.68, 60
184.81, 121.55, 60
169.45, -142.19, 60
207.86, -75.66, 60
160.9, -151.8, 60
219.71, 25.68, 60
215.24, -51.01, 60
184.81, -121.55, 60
173.95, -154.8, 60
232.76, 6.77, 60
224.92, 60.27, 60
182.66, 144.43, 60
204.96, -110.52, 60
221.04, -73.24, 60
221.04, 73.24, 60
198.19, 122.25, 60
228.05, 47.09, 60
216.41, 85.97, 60
198.19, -122.25, 60
211.04, 98.41, 60
228.05, -47.09, 60
231.97, -20.3, 60
204.96, 110.52, 60
173.95, 154.8, 60
190.75, 133.56, 60
216.41, -85.97, 60
232.76, -6.77, 60
190.75, -133.56, 60
211.04, -98.41, 60
231.97, 20.3, 60
230.4, 33.75, 60
182.66, -144.43, 60
230.4, -33.75, 60
224.92, -60.27, 60
204.29, 134.36, 60
240.8, 42.46, 60
204.29, -134.36, 60
240.8, -42.46, 60
229.77, -83.63, 60
196.13, -146.02, 60
244.1, -14.22, 60
242.86, 28.39, 60
211.76, 122.26, 60
234.25, 70.13, 60
242.86, -28.39, 60
229.77, 83.63, 60
244.52, 0, 60
218.51, 109.74, 60
244.1, 14.22, 60
224.52, 96.85, 60
237.93, 56.39, 60
224.52, -96.85, 60
187.31, 157.17, 60
